Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP006000,Female,Yes,0,Not Graduate,No,10928.0,2032.0,169.0,360.0,1.0,Semiurban,N
LP006001,Male,Yes,0,Graduate,No,2933.0,7958.0,,360.0,1.0,Urban,Y
LP006002,Female,Yes,0,Not Graduate,No,11693.0,9905.0,321.0,120.0,1.0,Urban,Y
LP006003,Female,Yes,0,Graduate,No,,8521.0,471.0,360.0,1.0,Rural,Y
LP006004,Male,No,0,Graduate,No,19416.0,3542.0,452.0,360.0,1.0,Semiurban,Y
LP006005,Female,Yes,2,Graduate,No,8361.0,1696.0,549.0,360.0,1.0,Semiurban,N
LP006006,Female,Yes,0,Not Graduate,No,14529.0,9682.0,640.0,360.0,1.0,Semiurban,N
LP006007,Male,Yes,1,Not Graduate,No,11562.0,3126.0,282.0,240.0,1.0,Semiurban,Y
LP006008,Female,No,0,Not Graduate,No,6463.0,9266.0,240.0,240.0,1.0,Urban,N
LP006009,Male,Yes,0,Graduate,No,19379.0,3425.0,646.0,360.0,1.0,Semiurban,N
LP006010,Female,Yes,0,Graduate,No,12567.0,8868.0,,360.0,1.0,Rural,Y
LP006011,Female,Yes,2,Graduate,No,19812.0,5694.0,476.0,360.0,1.0,Semiurban,Y
LP006012,Female,Yes,0,Graduate,No,12928.0,8002.0,635.0,360.0,1.0,Urban,Y
LP006013,Female,No,0,Graduate,,19751.0,1272.0,548.0,360.0,1.0,Rural,N
LP006014,Male,Yes,1,Graduate,No,17334.0,1350.0,266.0,360.0,1.0,Urban,Y
LP006015,Female,No,0,Graduate,Yes,9634.0,9322.0,401.0,360.0,1.0,Semiurban,Y
LP006016,Male,No,0,Graduate,No,13687.0,8368.0,338.0,360.0,1.0,Urban,Y
LP006017,Female,No,3+,Not Graduate,No,16527.0,7934.0,98.0,360.0,1.0,Semiurban,N
LP006018,Female,,0,Not Graduate,No,14759.0,4003.0,,360.0,1.0,Rural,N
LP006019,Male,No,0,Not Graduate,Yes,14405.0,3264.0,585.0,360.0,0.0,Rural,Y
LP006020,Male,Yes,1,Not Graduate,No,,9309.0,326.0,360.0,1.0,Semiurban,N
LP006021,Female,No,1,Graduate,No,6580.0,9649.0,459.0,360.0,1.0,Semiurban,N
LP006022,Female,Yes,0,Not Graduate,No,18352.0,4191.0,642.0,360.0,1.0,Semiurban,N
LP006023,Male,Yes,0,Graduate,No,10128.0,688.0,196.0,360.0,1.0,Urban,Y
LP006024,Male,No,0,Not Graduate,No,9665.0,5074.0,510.0,360.0,1.0,Urban,N
LP006025,Male,No,0,Graduate,No,3185.0,1582.0,627.0,240.0,1.0,Rural,Y
LP006026,Female,No,0,Not Graduate,No,18168.0,9993.0,113.0,360.0,1.0,Rural,Y
LP006027,Male,No,0,Not Graduate,No,6432.0,9515.0,414.0,360.0,1.0,Semiurban,N
LP006028,Female,Yes,0,Not Graduate,,2662.0,9967.0,529.0,360.0,1.0,Rural,Y
LP006029,Male,No,2,Graduate,Yes,16501.0,4907.0,466.0,360.0,0.0,Rural,N
LP006030,Female,Yes,1,Not Graduate,No,11129.0,3808.0,593.0,360.0,1.0,Semiurban,Y
LP006031,Male,Yes,2,Not Graduate,No,3071.0,364.0,667.0,360.0,1.0,Urban,N
LP006032,Female,No,0,Not Graduate,Yes,14564.0,515.0,550.0,360.0,1.0,Urban,Y
LP006033,Male,Yes,0,Not Graduate,No,16365.0,575.0,493.0,180.0,1.0,Semiurban,N
LP006034,Female,No,0,Not Graduate,No,15972.0,4917.0,436.0,120.0,1.0,Semiurban,N
LP006035,Male,No,2,Graduate,No,1889.0,6908.0,56.0,360.0,1.0,Rural,Y
LP006036,Female,Yes,0,Graduate,No,11937.0,8142.0,674.0,360.0,1.0,Rural,Y
LP006037,Female,No,0,Not Graduate,No,2056.0,4776.0,238.0,360.0,1.0,Rural,Y
LP006038,Male,No,0,Graduate,No,8049.0,6133.0,303.0,180.0,0.0,Urban,N
LP006039,Female,Yes,0,Not Graduate,No,3500.0,8733.0,653.0,360.0,1.0,Urban,Y
LP006040,Female,Yes,0,Not Graduate,No,5025.0,7238.0,569.0,360.0,1.0,Rural,Y
LP006041,Male,No,0,Not Graduate,No,10802.0,7909.0,560.0,360.0,1.0,Semiurban,Y
LP006042,Male,Yes,0,Not Graduate,No,7642.0,9128.0,271.0,360.0,1.0,Semiurban,N
LP006043,Male,No,1,Graduate,No,6828.0,4049.0,496.0,360.0,0.0,Semiurban,Y
LP006044,Female,Yes,0,Not Graduate,No,14011.0,1373.0,465.0,360.0,1.0,Urban,N
LP006045,Female,No,1,Not Graduate,No,2776.0,7815.0,277.0,360.0,1.0,Rural,Y
LP006046,Male,No,0,Graduate,Yes,8827.0,2132.0,614.0,360.0,0.0,Semiurban,Y
LP006047,Female,Yes,0,Not Graduate,No,11092.0,6508.0,330.0,360.0,0.0,Urban,Y
LP006048,Female,No,0,Not Graduate,,7787.0,6470.0,587.0,360.0,0.0,Semiurban,N
LP006049,Female,No,0,Graduate,No,5725.0,2539.0,57.0,360.0,0.0,Urban,N
LP006050,Female,No,0,Graduate,No,19919.0,2756.0,246.0,360.0,1.0,Rural,Y
LP006051,Female,No,0,Not Graduate,No,15262.0,5279.0,196.0,120.0,0.0,Semiurban,Y
LP006052,Female,No,1,Not Graduate,,7310.0,7375.0,536.0,360.0,0.0,Urban,Y
LP006053,Male,No,0,Not Graduate,No,17292.0,6333.0,247.0,360.0,1.0,Rural,N
LP006054,Female,No,0,Graduate,No,11148.0,9945.0,296.0,360.0,1.0,Urban,Y
LP006055,Female,No,0,Not Graduate,No,19236.0,9882.0,236.0,360.0,1.0,Semiurban,Y
LP006056,Male,Yes,0,Not Graduate,No,10623.0,2549.0,182.0,360.0,1.0,Semiurban,Y
LP006057,Female,,0,Not Graduate,No,11576.0,5242.0,208.0,360.0,1.0,Semiurban,Y
LP006058,Female,Yes,3+,Not Graduate,No,4447.0,8923.0,446.0,360.0,1.0,Urban,N
LP006059,Female,Yes,0,Graduate,No,6464.0,833.0,167.0,360.0,0.0,Semiurban,N
LP006060,Male,Yes,0,Graduate,Yes,7645.0,,434.0,360.0,1.0,Semiurban,Y
LP006061,Male,Yes,1,Not Graduate,No,13994.0,6118.0,607.0,360.0,0.0,Semiurban,N
LP006062,Female,Yes,1,Graduate,No,10103.0,9427.0,181.0,360.0,1.0,Semiurban,Y
LP006063,Female,Yes,3+,Not Graduate,Yes,16436.0,284.0,423.0,360.0,1.0,Semiurban,Y
LP006064,Male,Yes,2,Graduate,No,18004.0,7491.0,453.0,360.0,1.0,Urban,Y
LP006065,Female,No,2,Graduate,No,19364.0,3538.0,398.0,360.0,1.0,Semiurban,N
LP006066,Male,Yes,3+,Graduate,No,15353.0,4233.0,,360.0,1.0,Rural,N
LP006067,Male,Yes,0,Not Graduate,No,9700.0,75.0,146.0,360.0,1.0,Semiurban,N
LP006068,Male,Yes,1,Not Graduate,No,9308.0,9087.0,639.0,360.0,1.0,Urban,N
LP006069,Male,Yes,2,Graduate,No,18383.0,7015.0,388.0,240.0,1.0,Semiurban,Y
LP006070,Female,Yes,1,Not Graduate,,7529.0,1744.0,436.0,360.0,1.0,Semiurban,N
LP006071,Male,No,3+,Graduate,No,12389.0,7237.0,234.0,360.0,1.0,Urban,Y
LP006072,Male,No,0,Not Graduate,No,5740.0,6700.0,233.0,360.0,0.0,Urban,N
LP006073,Male,No,0,Graduate,No,5996.0,7345.0,100.0,360.0,1.0,Semiurban,N
LP006074,Male,No,3+,Graduate,No,4474.0,4783.0,51.0,360.0,1.0,Semiurban,Y
LP006075,Male,Yes,0,Not Graduate,No,2254.0,9130.0,126.0,360.0,0.0,Urban,N
LP006076,Male,Yes,1,Not Graduate,No,11839.0,3341.0,528.0,360.0,1.0,Urban,Y
LP006077,Female,Yes,0,Graduate,Yes,16584.0,7008.0,511.0,360.0,1.0,Semiurban,Y
LP006078,Female,No,1,Not Graduate,No,14573.0,1707.0,448.0,360.0,0.0,Urban,N
LP006079,Male,Yes,3+,Graduate,No,7590.0,4251.0,88.0,360.0,1.0,Semiurban,Y
LP006080,Male,No,0,Graduate,No,9380.0,3778.0,595.0,360.0,1.0,Semiurban,Y
LP006081,Female,Yes,0,Not Graduate,Yes,14293.0,5013.0,300.0,360.0,1.0,Rural,Y
LP006082,Male,Yes,0,Not Graduate,No,13748.0,6236.0,115.0,360.0,,Rural,N
LP006083,Male,,2,Not Graduate,Yes,6034.0,645.0,478.0,360.0,1.0,Semiurban,N
LP006084,Male,No,1,Not Graduate,Yes,5179.0,2239.0,402.0,360.0,1.0,Urban,N
LP006085,Male,No,0,Graduate,No,18270.0,9321.0,432.0,360.0,1.0,Urban,Y
LP006086,Female,No,0,Graduate,No,19369.0,9653.0,76.0,360.0,1.0,Rural,N
LP006087,Male,No,2,Graduate,Yes,7615.0,2278.0,116.0,360.0,1.0,Rural,Y
LP006088,Female,No,2,Not Graduate,No,9828.0,7094.0,549.0,360.0,0.0,Semiurban,N
LP006089,Male,No,0,Not Graduate,No,13960.0,9243.0,461.0,360.0,1.0,Semiurban,N
LP006090,Male,Yes,0,Graduate,No,3549.0,8718.0,679.0,360.0,1.0,Urban,N
LP006091,Female,No,2,Not Graduate,No,6738.0,4458.0,419.0,240.0,1.0,Rural,Y
LP006092,Male,No,0,Not Graduate,No,2356.0,2417.0,,360.0,1.0,Rural,N
LP006093,Female,Yes,3+,Not Graduate,No,19027.0,2137.0,658.0,360.0,1.0,Urban,Y
LP006094,Male,No,0,Graduate,No,4337.0,9917.0,485.0,360.0,1.0,Urban,Y
LP006095,Female,No,1,Graduate,No,8485.0,9920.0,110.0,240.0,0.0,Rural,Y
LP006096,Male,Yes,0,Not Graduate,No,3766.0,6765.0,99.0,360.0,1.0,Semiurban,Y
LP006097,Female,Yes,3+,Graduate,No,10261.0,4540.0,574.0,360.0,1.0,Semiurban,Y
LP006098,Male,Yes,0,Graduate,No,18081.0,4054.0,245.0,120.0,1.0,Semiurban,N
LP006099,Female,No,0,Graduate,No,4945.0,128.0,419.0,360.0,0.0,Urban,Y
LP006100,Male,No,0,Graduate,No,12197.0,3153.0,324.0,360.0,1.0,Urban,Y
LP006101,Female,Yes,2,Graduate,No,12448.0,8400.0,265.0,360.0,1.0,Rural,Y
LP006102,Male,No,0,Not Graduate,No,15040.0,8237.0,341.0,360.0,1.0,Urban,N
LP006103,Female,Yes,0,Graduate,No,10403.0,6635.0,375.0,360.0,0.0,Rural,N
