Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP005000,Male,Yes,0,Not Graduate,No,17984.0,8332.0,454.0,360.0,1.0,Rural,Y
LP005001,Male,No,0,Graduate,Yes,3961.0,1831.0,89.0,360.0,1.0,Rural,N
LP005002,Female,No,1,Not Graduate,No,1822.0,6743.0,79.0,,1.0,Semiurban,N
LP005003,Male,Yes,3+,Not Graduate,No,6346.0,6097.0,346.0,360.0,0.0,Rural,Y
LP005004,Female,Yes,0,Not Graduate,No,12768.0,5515.0,352.0,360.0,1.0,Urban,Y
LP005005,Male,Yes,0,Graduate,No,2106.0,4930.0,309.0,360.0,1.0,Semiurban,Y
LP005006,Female,Yes,0,Not Graduate,No,10800.0,6936.0,655.0,360.0,1.0,Urban,Y
LP005007,Female,No,0,Not Graduate,No,,930.0,481.0,360.0,0.0,Rural,N
LP005008,Male,No,0,Not Graduate,No,14860.0,5007.0,362.0,360.0,1.0,Semiurban,N
LP005009,Male,Yes,0,Graduate,No,18722.0,2288.0,291.0,360.0,1.0,Urban,N
LP005010,Male,Yes,3+,Graduate,No,2621.0,2671.0,577.0,360.0,1.0,Urban,N
LP005011,Female,Yes,0,Not Graduate,No,15223.0,,541.0,360.0,1.0,Rural,N
LP005012,Female,No,1,Not Graduate,No,4841.0,9208.0,360.0,360.0,1.0,Rural,Y
LP005013,Female,Yes,0,Not Graduate,No,19220.0,9367.0,195.0,,1.0,Rural,Y
LP005014,Male,No,0,Graduate,No,2759.0,1020.0,200.0,360.0,1.0,Semiurban,N
LP005015,Male,No,1,Not Graduate,No,18528.0,9177.0,512.0,180.0,1.0,Rural,Y
LP005016,Male,No,2,Not Graduate,No,11920.0,2953.0,60.0,360.0,1.0,Rural,Y
LP005017,Male,No,0,Graduate,No,2096.0,4882.0,476.0,360.0,1.0,Semiurban,Y
LP005018,Female,Yes,2,Graduate,Yes,7889.0,6935.0,350.0,360.0,1.0,Semiurban,N
LP005019,Female,No,2,Graduate,No,6036.0,5308.0,88.0,360.0,1.0,Urban,Y
LP005020,Female,Yes,0,Graduate,No,18351.0,6276.0,640.0,360.0,1.0,Semiurban,Y
LP005021,Male,No,0,Graduate,,10656.0,4196.0,514.0,360.0,1.0,Rural,Y
LP005022,Female,Yes,1,Graduate,No,11329.0,8097.0,201.0,360.0,0.0,Urban,N
LP005023,Female,No,0,Not Graduate,No,12505.0,5477.0,341.0,360.0,1.0,Rural,N
LP005024,Female,Yes,0,Graduate,No,1711.0,6107.0,565.0,360.0,1.0,Urban,N
LP005025,Female,No,0,Graduate,No,16895.0,9739.0,,360.0,1.0,Semiurban,Y
LP005026,Male,Yes,0,Not Graduate,No,2269.0,5484.0,646.0,360.0,1.0,Urban,N
LP005027,Male,No,3+,Not Graduate,No,16950.0,3180.0,611.0,240.0,0.0,Rural,N
LP005028,Female,Yes,0,Not Graduate,No,15419.0,186.0,397.0,360.0,1.0,Semiurban,Y
LP005029,Male,Yes,0,Graduate,No,4758.0,3476.0,613.0,360.0,1.0,Semiurban,N
LP005030,Male,No,0,Graduate,No,18143.0,5471.0,311.0,180.0,1.0,Rural,Y
LP005031,Female,No,1,Graduate,No,3254.0,3032.0,351.0,240.0,1.0,Rural,Y
LP005032,Female,Yes,1,Graduate,Yes,12089.0,46.0,679.0,360.0,1.0,Rural,N
LP005033,Female,No,3+,Graduate,No,1545.0,2868.0,494.0,360.0,1.0,Rural,N
LP005034,Male,No,2,Not Graduate,No,2376.0,3912.0,338.0,360.0,1.0,Rural,N
LP005035,Male,No,0,Not Graduate,No,4417.0,3037.0,430.0,360.0,1.0,Semiurban,N
LP005036,Female,Yes,0,Graduate,No,3455.0,3305.0,445.0,240.0,,Semiurban,Y
LP005037,Female,Yes,0,Graduate,No,3774.0,1613.0,336.0,360.0,1.0,Urban,Y
