Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP007500,Female,Yes,3+,Not Graduate,Yes,,7270.0,627.0,180.0,1.0,Suburban,Y
LP007509,Female,No,4,Not Graduate,Yes,5976.0,2968.0,326.0,360.0,1.0,Urban,Y
LP007897,Female,No,0,Graduate,No,,7927.0,406.0,360.0,2.0,Urban,N
LP007515,Female,No,0,Not Graduate,No,16512.0,7573.0,507.0,360.0,1.0,Semiurban,Pending
LP007909,Female,Yes,3+,Not Graduate,No,7335.0,4570.0,629.0,360.0,1.0,Urban,Pending
LP007911,Male,Yes,0,Graduate,No,4449.0,9059.0,340.0,,2.0,Semiurban,N
LP007917,Male,No,1,Graduate,Maybe,7570.0,533.0,654.0,360.0,1.0,Urban,Y
LP007800,Male,No,0,Not Graduate,Maybe,8117.0,4311.0,533.0,360.0,1.0,Semiurban,N
LP007947,Female,No,4,Graduate,No,13962.0,2907.0,672.0,360.0,1.0,Urban,Y
LP007819,Female,Yes,1,Graduate,No,1584.0,2170.0,376.0,360.0,1.0,Suburban,N
LP007950,Female,Unknown,0,Not Graduate,No,16027.0,1541.0,610.0,360.0,1.0,Urban,Y
LP007951,Male,No,4,Not Graduate,No,2608.0,1468.0,96.0,360.0,1.0,Urban,N
LP007832,Male,Yes,0,Graduate,No,1796.0,2901.0,658.0,360.0,1.0,Suburban,Y
LP007707,Female,Yes,4,Graduate,No,5393.0,5513.0,399.0,360.0,1.0,Urban,Y
LP007840,Female,No,2,Graduate,Yes,10553.0,9723.0,505.0,360.0,1.0,Suburban,N
LP007982,Female,No,2,Not Graduate,No,19988.0,3093.0,212.0,360.0,2.0,Urban,N
LP007987,Male,No,4,Not Graduate,No,6286.0,2511.0,555.0,240.0,1.0,Rural,Y
LP007862,Male,Yes,2,Not Graduate,Maybe,16565.0,9069.0,50.0,360.0,0.0,Semiurban,Y
LP007994,Male,Unknown,2,Graduate,No,14857.0,2695.0,693.0,360.0,1.0,Semiurban,Y
LP007744,Male,Yes,0,Not Graduate,No,14034.0,6151.0,690.0,360.0,2.0,Semiurban,Y
LP007877,Male,Yes,0,Not Graduate,No,17167.0,9628.0,131.0,360.0,1.0,Semiurban,Pending
