Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000000,Male,Yes,1,Graduate,No,19106.0,4008.0,570.0,360.0,1.0,Semiurban,Y
LP000001,Female,Yes,0,Graduate,Yes,11956.0,7587.0,530.0,360.0,1.0,Urban,Y
LP000002,Female,Yes,0,Not Graduate,No,11225.0,7581.0,684.0,360.0,1.0,Urban,Y
LP000003,Female,No,1,Graduate,Yes,10483.0,4656.0,81.0,360.0,1.0,Semiurban,N
LP000004,Male,Yes,0,Not Graduate,No,,1002.0,407.0,360.0,1.0,Rural,Y
LP000005,Male,No,1,Graduate,No,15060.0,4552.0,,360.0,1.0,Urban,Y
LP000006,Male,Yes,3+,Graduate,No,16515.0,1539.0,308.0,360.0,1.0,Rural,Y
LP000007,Female,No,0,Graduate,No,3584.0,8275.0,326.0,360.0,1.0,Rural,N
LP000008,Female,No,1,Not Graduate,No,13295.0,1936.0,377.0,360.0,0.0,Urban,N
LP000009,Female,No,0,Not Graduate,No,3181.0,3285.0,165.0,360.0,1.0,Rural,N
LP000010,Male,No,0,Graduate,No,5222.0,3462.0,287.0,360.0,1.0,Semiurban,Y
LP000011,Female,No,0,Graduate,No,3536.0,2406.0,582.0,360.0,1.0,Urban,Y
LP000012,Female,No,0,Graduate,No,4657.0,5492.0,347.0,,1.0,Rural,Y
LP000013,Male,Yes,0,Graduate,No,13417.0,1597.0,,240.0,1.0,Urban,Y
LP000014,Male,No,0,Graduate,No,,8249.0,107.0,360.0,1.0,Rural,N
LP000015,Male,Yes,2,Graduate,No,9055.0,6827.0,164.0,360.0,0.0,Urban,N
LP000016,Male,Yes,2,Graduate,No,10113.0,5945.0,437.0,360.0,0.0,Rural,Y
LP000017,Female,Yes,3+,Not Graduate,No,18842.0,2921.0,603.0,120.0,1.0,Rural,Y
LP000018,Male,Yes,1,Not Graduate,No,6952.0,6983.0,362.0,360.0,1.0,Urban,N
LP000019,Male,Yes,0,Graduate,No,16850.0,9965.0,597.0,360.0,1.0,Semiurban,N
LP000020,Female,Yes,0,Graduate,No,15471.0,6229.0,302.0,360.0,1.0,Semiurban,Y
LP000021,Male,Yes,0,Graduate,No,1727.0,7022.0,101.0,360.0,1.0,Urban,N
LP000022,Male,No,0,Graduate,No,17888.0,9791.0,501.0,360.0,1.0,Urban,N
LP000023,Male,Yes,1,Graduate,No,18035.0,6810.0,571.0,360.0,1.0,Semiurban,Y
LP000024,Male,No,0,Graduate,No,13944.0,7546.0,201.0,360.0,1.0,Rural,Y
LP000025,Female,Yes,0,Not Graduate,No,13021.0,6466.0,415.0,360.0,1.0,Rural,N
LP000026,Male,No,0,Not Graduate,Yes,4577.0,4106.0,558.0,360.0,1.0,Rural,Y
LP000027,Female,No,0,Not Graduate,No,5471.0,3939.0,101.0,360.0,,Semiurban,Y
LP000028,Female,No,0,Graduate,No,2504.0,7745.0,319.0,360.0,1.0,Urban,N
LP000029,Male,No,0,Not Graduate,,9502.0,8454.0,634.0,120.0,1.0,Rural,N
LP000030,Female,Yes,2,Graduate,No,5160.0,7191.0,299.0,120.0,1.0,Urban,Y
LP000031,Male,No,0,Not Graduate,Yes,7989.0,5003.0,645.0,360.0,1.0,Semiurban,Y
LP000032,Male,No,1,Graduate,No,16975.0,8645.0,509.0,360.0,1.0,Semiurban,Y
LP000033,Female,No,0,Not Graduate,No,11314.0,9446.0,548.0,360.0,1.0,Semiurban,N
LP000034,Female,No,0,Graduate,No,6208.0,3671.0,161.0,360.0,0.0,Rural,Y
LP000035,Female,Yes,2,Not Graduate,Yes,7587.0,6423.0,152.0,360.0,1.0,Rural,Y
LP000036,Male,No,1,Not Graduate,No,13184.0,8171.0,61.0,360.0,1.0,Urban,Y
LP000037,Male,Yes,0,Not Graduate,No,19809.0,198.0,519.0,360.0,1.0,Rural,N
LP000038,Female,No,2,Graduate,No,7202.0,5897.0,281.0,360.0,0.0,Urban,Y
LP000039,Male,Yes,0,Graduate,No,10818.0,3814.0,553.0,360.0,1.0,Urban,Y
LP000040,Male,No,0,Graduate,No,1727.0,5975.0,504.0,180.0,1.0,Semiurban,Y
LP000041,Female,Yes,2,Graduate,No,5143.0,7450.0,698.0,360.0,1.0,Urban,Y
LP000042,Male,Yes,1,Graduate,No,5228.0,285.0,612.0,360.0,1.0,Rural,N
LP000043,Female,No,0,Not Graduate,No,10926.0,1151.0,86.0,360.0,1.0,Rural,N
LP000044,Male,No,0,Graduate,No,6728.0,9422.0,,360.0,1.0,Urban,N
LP000045,Female,No,2,Graduate,No,17216.0,257.0,186.0,360.0,1.0,Urban,Y
LP000046,Male,Yes,0,Graduate,No,13458.0,775.0,513.0,360.0,1.0,Urban,N
